"Field Name","Field Label","Model","Field Type","Type","Indexed","Stored","Readonly","Related Model"
"phone_sanitized","Sanitized Number","Contact","char","Base Field","","True","True",""
"phone_sanitized_blacklisted","Phone Blacklisted","Contact","boolean","Base Field","","","True",""
"properties","Properties","Contact","properties","Base Field","","True","",""
"properties_base_definition_id","Properties Base Definition","Contact","many2one","Base Field","","","True","properties.base.definition"
"property_account_payable_id","Account Payable","Contact","many2one","Base Field","True","True","","account.account"
"property_account_position_id","Fiscal Position","Contact","many2one","Base Field","True","True","","account.fiscal.position"
"property_account_receivable_id","Account Receivable","Contact","many2one","Base Field","True","True","","account.account"
"property_inbound_payment_method_line_id","Property Inbound Payment Method Line","Contact","many2one","Base Field","True","True","","account.payment.method.line"
"property_outbound_payment_method_line_id","Property Outbound Payment Method Line","Contact","many2one","Base Field","True","True","","account.payment.method.line"
"property_payment_term_id","Customer Payment Terms","Contact","many2one","Base Field","True","True","","account.payment.term"
"property_product_pricelist","Pricelist","Contact","many2one","Base Field","","","","product.pricelist"
"property_supplier_payment_term_id","Vendor Payment Terms","Contact","many2one","Base Field","True","True","","account.payment.term"
"ref","Reference","Contact","char","Base Field","True","True","",""
"ref_company_ids","Companies that refers to partner","Contact","one2many","Base Field","","True","","res.company"
"rtc_session_ids","Rtc Session","Contact","one2many","Base Field","","True","","discuss.channel.rtc.session"
"sale_order_count","Sale Order Count","Contact","integer","Base Field","","","True",""
"sale_order_ids","Sales Order","Contact","one2many","Base Field","","True","","sale.order"
"sale_warn_msg","Message for Sales Order","Contact","text","Base Field","","True","",""
"same_company_registry_partner_id","Partner with same Company Registry","Contact","many2one","Base Field","","","True","res.partner"
"same_vat_partner_id","Partner with same Tax ID","Contact","many2one","Base Field","","","True","res.partner"
"self","Self","Contact","many2one","Base Field","","","True","res.partner"
"show_credit_limit","Show Credit Limit","Contact","boolean","Base Field","","","True",""
"signup_type","Signup Token Type","Contact","char","Base Field","","True","",""
"specific_property_product_pricelist","Specific Property Product Pricelist","Contact","many2one","Base Field","True","True","","product.pricelist"
"state_id","State","Contact","many2one","Base Field","","True","","res.country.state"
"street","Street","Contact","char","Base Field","","True","",""
"street2","Street2","Contact","char","Base Field","","True","",""
"supplier_invoice_count","# Vendor Bills","Contact","integer","Base Field","","","True",""
"supplier_rank","Supplier Rank","Contact","integer","Base Field","","True","",""
"total_all_due","Total All Due","Contact","monetary","Base Field","","","True",""
"total_all_overdue","Total All Overdue","Contact","monetary","Base Field","","","True",""
"total_due","Total Due","Contact","monetary","Base Field","","","True",""
"total_invoiced","Total Invoiced","Contact","monetary","Base Field","","","True",""
"total_overdue","Total Overdue","Contact","monetary","Base Field","","","True",""
"total_overdue_followup","Total Overdue Followup","Contact","monetary","Base Field","","","True",""
"trust","Degree of trust you have in this debtor","Contact","selection","Base Field","True","True","",""
"type","Address Type","Contact","selection","Base Field","","True","",""
"type_address_label","Address Type Description","Contact","char","Base Field","","","True",""
"tz","Timezone","Contact","selection","Base Field","","True","",""
"tz_offset","Timezone offset","Contact","char","Base Field","","","True",""
"unpaid_invoice_ids","Unpaid Invoice","Contact","one2many","Base Field","","","True","account.move"
"unpaid_invoices_count","Unpaid Invoices Count","Contact","integer","Base Field","","","True",""
"unreconciled_aml_ids","Unreconciled Aml","Contact","one2many","Base Field","","","","account.move.line"
"use_partner_credit_limit","Partner Limit","Contact","boolean","Base Field","","","",""
"user_id","Salesperson","Contact","many2one","Base Field","","True","","res.users"
"user_ids","Users","Contact","one2many","Base Field","","True","","res.users"
"vat","Tax ID","Contact","char","Base Field","True","True","",""
"vat_label","Tax ID Label","Contact","char","Base Field","","","True",""
"visitor_ids","Visitors","Contact","one2many","Base Field","","True","","website.visitor"
"website","Website Link","Contact","char","Base Field","","True","",""
"website_absolute_url","Website Absolute URL","Contact","char","Base Field","","","True",""
"website_id","Website","Contact","many2one","Base Field","True","True","","website"
"website_message_ids","Website Messages","Contact","one2many","Base Field","","True","","mail.message"
"website_published","Visible on current website","Contact","boolean","Base Field","","","",""
"website_url","Website URL","Contact","char","Base Field","","","True",""
"write_date","Last Updated on","Contact","datetime","Base Field","","True","True",""
"write_uid","Last Updated by","Contact","many2one","Base Field","","True","True","res.users"
"x_crm_activity_log_ids","CRM Activity History","Contact","one2many","Custom Field","","True","","x_crm_activity_log"
"x_last_service_date","Last Service Date","Contact","date","Custom Field","","True","",""
"x_studio_contact_category","Contact Category","Contact","selection","Custom Field","","True","",""
"x_studio_is_landline","Is Landline","Contact","boolean","Custom Field","","True","",""
"x_studio_last_reactivation_sent","Last Reactivation Sent","Contact","date","Custom Field","","True","",""
"x_studio_last_visit_all_properties","Last Visit (All Properties)","Contact","date","Custom Field","","True","",""
"x_studio_prices_per_service","Prices Per Service","Contact","text","Custom Field","","True","",""
"x_studio_pricing_menu","Pricing Menu","Contact","text","Custom Field","","True","True",""
"x_studio_related_field_3ks_1jdpt7f10","Parent name (Copy)","Contact","char","Custom Field","","","True",""
"x_studio_related_field_7lq_1jdpstqrj","First Name (Copy)","Contact","char","Custom Field","","","True",""
"x_studio_selection_field_4g5_1jdpvit6j","New Selection","Contact","selection","Custom Field","","True","",""
"x_studio_sent_me","sent me","Contact","date","Custom Field","","True","",""
"x_studio_service_area","Service Area","Contact","char","Custom Field","","True","",""
"x_studio_x_alternating","Alternating","Contact","char","Custom Field","","True","",""
"x_studio_x_frequency","Frequency","Contact","char","Custom Field","","True","",""
"x_studio_x_gate_code","Gate Code","Contact","char","Custom Field","","True","",""
"x_studio_x_is_landline","Is Landline","Contact","boolean","Custom Field","","True","",""
"x_studio_x_pricing","Pricing Note","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_confirm_send","Confirm Send","Contact","boolean","Custom Field","","True","",""
"x_studio_x_studio_first_name","First Name","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_last_name","Last Name","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_last_property_visit","Last Property Visit","Contact","date","Custom Field","","True","",""
"x_studio_x_studio_last_service_date","Last Service Date*","Contact","date","Custom Field","","True","",""
"x_studio_x_studio_location_id","Workiz Location ID.","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_ok_to_text","OK to Text","Contact","selection","Custom Field","","True","",""
"x_studio_x_studio_record_category","Record Category","Contact","selection","Custom Field","","True","",""
"x_studio_x_studio_second_phone","Second Phone","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_service_area","Service Area","Contact","char","Custom Field","","True","",""
"x_studio_x_type_of_service","Type of Service","Contact","char","Custom Field","","True","",""
"zip","Zip","Contact","char","Base Field","","True","",""
